country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","24-11-2025 19:00:00",26.11442,85.39813,NO2,25,48,34
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","24-11-2025 19:00:00",26.11442,85.39813,NH3,5,12,9
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","24-11-2025 19:00:00",11.654054,92.734055,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","24-11-2025 19:00:00",16.5150833,80.5181667,PM10,51,500,99
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","24-11-2025 19:00:00",16.5150833,80.5181667,NO2,16,36,22
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","24-11-2025 19:00:00",26.146529,87.454184,SO2,16,21,20
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","24-11-2025 19:00:00",26.146529,87.454184,CO,25,33,31
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","24-11-2025 19:00:00",25.5626095,84.663264,OZONE,7,8,8
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","24-11-2025 19:00:00",28.656756,77.227234,CO,59,118,86
India,Delhi,Delhi,"DTU, Delhi - CPCB","24-11-2025 19:00:00",28.7500499,77.1112615,NO2,44,107,62
India,Delhi,Delhi,"DTU, Delhi - CPCB","24-11-2025 19:00:00",28.7500499,77.1112615,SO2,28,37,31
India,Delhi,Delhi,"DTU, Delhi - CPCB","24-11-2025 19:00:00",28.7500499,77.1112615,CO,34,106,57
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","24-11-2025 19:00:00",28.498571,77.264840,NO2,79,135,109
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","24-11-2025 19:00:00",28.498571,77.264840,OZONE,3,114,54
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","24-11-2025 19:00:00",28.5710274,77.0719006,PM2.5,287,469,392
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","24-11-2025 19:00:00",28.5710274,77.0719006,NH3,12,21,15
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","24-11-2025 19:00:00",28.5710274,77.0719006,SO2,1,25,17
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","24-11-2025 19:00:00",28.5710274,77.0719006,CO,72,160,160
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","24-11-2025 19:00:00",28.5627763,77.1180053,OZONE,19,230,121
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","24-11-2025 19:00:00",28.695381,77.181665,NH3,1,2,1
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","24-11-2025 19:00:00",28.695381,77.181665,SO2,5,29,17
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","24-11-2025 19:00:00",28.695381,77.181665,OZONE,1,139,89
